plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P1,S8,S,0.064317076,ABG_1,1,FALSE,24/02/2019,NA
P1,S8,W,0.074529089,ABG_1,1,FALSE,24/02/2019,NA
P1,S9,E,0.711823368,ABG_1,1,FALSE,24/02/2019,NA
P1,S9,N,0.225382693,ABG_1,3,FALSE,24/02/2019,NA
P1,S9,S,0.094557065,ABG_1,1,TRUE,24/02/2019,19.28
P1,S9,W,0.122710283,ABG_1,1,FALSE,24/02/2019,NA
P2,S1,E,0.075807066,ABG_2,7,FALSE,08/03/2019,NA
P2,S1,N,0.162763917,ABG_2,13,FALSE,08/03/2019,NA
P2,S1,S,0.110085716,ABG_2,6,FALSE,08/03/2019,NA
P2,S1,W,0.046156718,ABG_2,11,FALSE,08/03/2019,NA
P2,S2,E,0.234847923,ABG_2,9,FALSE,08/03/2019,NA
P2,S2,N,0.335652346,ABG_2,5,FALSE,08/03/2019,NA
P2,S2,S,0.142122539,ABG_2,4,FALSE,08/03/2019,NA
P2,S2,W,0.19012868,ABG_2,3,FALSE,08/03/2019,NA
P2,S3,E,0.428355141,ABG_2,4,FALSE,08/03/2019,NA
P2,S3,N,0.229034292,ABG_2,4,FALSE,08/03/2019,NA
P2,S3,S,0.350517138,ABG_2,9,FALSE,08/03/2019,NA
P2,S3,W,0.15307178,ABG_2,9,FALSE,08/03/2019,NA
P2,S4,E,0.453801349,ABG_2,4,FALSE,08/03/2019,NA
P2,S4,N,0.169310394,ABG_2,10,FALSE,08/03/2019,NA
P2,S4,S,0.675350541,ABG_2,9,TRUE,08/03/2019,27.5
P2,S4,W,0.196988202,ABG_2,3,TRUE,08/03/2019,5.48
P2,S5,E,0.490019729,ABG_2,4,FALSE,08/03/2019,NA
P2,S5,N,0.332224806,ABG_2,5,FALSE,08/03/2019,NA
P2,S5,S,2.20E-05,ABG_2,4,TRUE,08/03/2019,30.67
P2,S5,W,0.194480808,ABG_2,7,FALSE,08/03/2019,NA
P2,S6,E,0.279111015,ABG_2,9,FALSE,08/03/2019,NA
P2,S6,N,0.15341528,ABG_2,7,FALSE,08/03/2019,NA
P2,S6,S,0.046793638,ABG_2,25,FALSE,08/03/2019,NA
P2,S6,W,0.274885252,ABG_2,4,FALSE,08/03/2019,NA
P2,S7,E,0.601817368,ABG_2,12,FALSE,08/03/2019,NA
P2,S7,N,0.399580297,ABG_2,6,TRUE,08/03/2019,36.97
P2,S7,S,0.116451391,ABG_2,19,FALSE,08/03/2019,NA
P2,S7,W,0.14299111,ABG_2,25,FALSE,08/03/2019,NA
P2,S8,E,0.202847961,ABG_2,19,FALSE,08/03/2019,NA
P2,S8,N,0.131223967,ABG_2,8,FALSE,08/03/2019,NA
P2,S8,S,0.239268016,ABG_2,9,FALSE,08/03/2019,NA
P2,S8,W,0.108911003,ABG_2,40,FALSE,08/03/2019,NA
P2,S9,E,0.764154845,ABG_2,10,TRUE,08/03/2019,80.32
P2,S9,N,0.945019461,ABG_2,18,FALSE,08/03/2019,NA
P2,S9,S,0.316930983,ABG_2,7,FALSE,08/03/2019,NA
P2,S9,W,0.295333563,ABG_2,25,TRUE,08/03/2019,31.76
P3,S1,E,0.085911131,ABG_3,4,FALSE,09/03/2019,NA
P3,S1,N,0.074543995,ABG_3,3,FALSE,09/03/2019,NA
P3,S1,S,0.077809289,ABG_3,8,TRUE,09/03/2019,15.17
P3,S1,W,0.120137988,ABG_3,4,FALSE,09/03/2019,NA
P3,S2,E,0.145059956,ABG_3,7,TRUE,09/03/2019,54.66
P3,S2,N,0.206584385,ABG_3,2,TRUE,09/03/2019,23.66
P3,S2,S,0.195083219,ABG_3,6,FALSE,09/03/2019,NA
P3,S2,W,0.098292233,ABG_3,4,FALSE,09/03/2019,NA
P3,S3,E,0.123697695,ABG_3,4,FALSE,09/03/2019,NA
P3,S3,N,0.12328208,ABG_3,4,FALSE,09/03/2019,NA
