"plot_id","subplot","layer_div","auc_canopy","height_q95","height_q99","dens_peak_height","point_cov","shannon","cum_lm_resid","cum_lm_slope","cum_lm_se","weib_shape","weib_scale","n_maxima","n_minima"
"ABG_6","S2",15.0396622167024,51579.61125,11.7,13,6.25,1.01331538134923,2.75677394810067,3548.5074074518,7440544.48355074,120369.779775674,1.08847402131044,91010.8829919815,2,2
"ABG_6","S3",12.1931043211412,40093.26875,12.75,13.85,6.55,1.27963715760267,2.49513806813219,1671.44147254873,4125595.81300116,89695.6841739971,0.889997377228265,84230.7042750141,2,2
"ABG_6","S4",9.10466914069142,21524.19,6.6,7.1,6.2,0.666527423954294,2.20588448001906,679.702239199603,2936084.9333902,67433.0576145306,1.58412414159639,87584.3620487501,1,1
"ABG_6","S5",8.46257439913238,7887.6325,5.65,7,4.4,0.57191111591773,2.23474124250686,225.254343140184,1057282.29444802,22921.0408316423,1.79451348003535,33040.5390679147,1,2
"ABG_6","S6",9.87595787259342,11548.79625,6.85,9,5.75,0.836842641002596,2.43653953634602,513.350126492321,1618988.33151767,33252.6132561075,1.27808600292573,32808.2904860362,2,3
"ABG_6","S7",18.0510173021537,21570.9225,12.2,12.9,6.7,0.649878294651127,2.942521392432,712.227506277778,2791766.91642155,26057.325141186,1.67052346240762,42784.3266861736,2,3
"ABG_6","S8",17.0398854604891,33200.4575,11.15,12.2,6.45,0.692406815862241,2.87603588315288,1531.85478061429,4335654.30088408,57700.945270926,1.4896960912839,66863.8610887424,2,2
"ABG_6","S9",18.3992658814083,30257.65,13.05,14.65,6.65,0.659160230631699,3.1296254759968,2194.96728290175,4301045.16125193,56314.1255804741,1.44321162779453,49050.7876446719,2,2
"ABG_7","S1",17.4692071366241,61576.99125,9.35,10.85,6.5,0.582890677510167,2.82285543784941,2721.52562897938,8511016.28059692,113041.242018071,1.52548698585126,139074.063157223,2,1
"ABG_7","S2",22.8012519351727,47008.31125,11.2,12.75,7,0.448725219612153,3.04583766000722,1550.68574284795,6267839.54169698,53796.0429794007,2.36128010936628,94630.7140400607,2,2
"ABG_7","S3",19.4499407691334,20419.94375,12.75,15.15,6.45,1.76089943622363,2.78232510116535,2364.18605468658,2795780.38899181,56431.5111716037,0.941692781314183,26807.4223066385,4,4
